date,margin_debt
2023-08-01,689185
2023-09-01,680846
2023-10-01,635276
2023-11-01,660887
2023-12-01,700774
2024-01-01,701975
2024-02-01,742963
2024-03-01,784136
2024-04-01,775464
2024-05-01,809431
2024-06-01,809322
2024-07-01,810835
2024-08-01,797162
2024-09-01,813211
2024-10-01,815369
2024-11-01,890852
2024-12-01,899168
2025-01-01,937253
2025-02-01,918144
2025-03-01,880316
2025-04-01,850558
2025-05-01,920960
2025-06-01,1007961
2025-07-01,1022548
2025-08-01,1059723
2025-09-01,1126494
2025-10-01,1183654
2025-11-01,1214321
2025-12-01,1225597
2026-01-01,1279042
2026-02-01,1253192
2026-03-01,1220922
2026-04-01,1304281
2026-05-01,1415557
2026-06-01,1502072
2026-07-01,1417225
