date,sse_composite
2015-07-30,3705.76611328125
2015-07-31,3663.72607421875
2015-08-03,3622.905029296875
2015-08-04,3756.544921875
2015-08-05,3694.572998046875
2015-08-06,3661.5390625
2015-08-07,3744.205078125
2015-08-10,3928.4150390625
2015-08-11,3927.907958984375
2015-08-12,3886.320068359375
2015-08-13,3954.555908203125
2015-08-14,3965.3349609375
2015-08-17,3993.66796875
2015-08-18,3748.1640625
2015-08-19,3794.10888671875
2015-08-20,3664.291015625
2015-08-21,3507.743896484375
2015-08-24,3209.905029296875
2015-08-25,2964.967041015625
2015-08-26,2927.2880859375
2015-08-27,3083.591064453125
2015-08-28,3232.35009765625
2015-08-31,3205.986083984375
2015-09-01,3166.6240234375
2015-09-02,3160.1669921875
2015-09-07,3080.419921875
2015-09-08,3170.451904296875
2015-09-09,3243.089111328125
2015-09-10,3197.89306640625
2015-09-11,3200.23388671875
2015-09-14,3114.798095703125
2015-09-15,3005.172119140625
2015-09-16,3152.262939453125
2015-09-17,3086.06103515625
2015-09-18,3097.9169921875
2015-09-21,3156.5400390625
2015-09-22,3185.618896484375
2015-09-23,3115.887939453125
2015-09-24,3142.68701171875
2015-09-25,3092.346923828125
2015-09-28,3100.756103515625
2015-09-29,3038.136962890625
2015-09-30,3052.781005859375
2015-10-08,3143.35693359375
2015-10-09,3183.152099609375
2015-10-12,3287.662109375
2015-10-13,3293.22998046875
2015-10-14,3262.44091796875
2015-10-15,3338.072998046875
2015-10-16,3391.35205078125
2015-10-19,3386.699951171875
2015-10-20,3425.330078125
2015-10-21,3320.676025390625
2015-10-22,3368.739013671875
2015-10-23,3412.43408203125
2015-10-26,3429.5810546875
2015-10-27,3434.3359375
2015-10-28,3375.196044921875
2015-10-29,3387.31494140625
2015-10-30,3382.56103515625
2015-11-02,3325.0849609375
2015-11-03,3316.695068359375
2015-11-04,3459.639892578125
2015-11-05,3522.819091796875
2015-11-06,3590.031982421875
2015-11-09,3646.881103515625
2015-11-10,3640.485107421875
2015-11-11,3650.2490234375
2015-11-12,3632.902099609375
2015-11-13,3580.839111328125
2015-11-16,3606.95703125
2015-11-17,3604.794921875
2015-11-18,3568.468017578125
2015-11-19,3617.06201171875
2015-11-20,3630.5
