date,walcl_fed_total_assets
2020-05-27,7097316
2020-06-03,7165217
2020-06-10,7168936
2020-06-17,7094690
2020-06-24,7082302
2020-07-01,7009040
2020-07-08,6920716
2020-07-15,6958604
2020-07-22,6964755
2020-07-29,6949032
2020-08-05,6945237
2020-08-12,6957277
2020-08-19,7010637
2020-08-26,6990418
2020-09-02,7017492
2020-09-09,7010614
2020-09-16,7064475
2020-09-23,7093161
2020-09-30,7056129
2020-10-07,7074649
2020-10-14,7151426
2020-10-21,7177265
2020-10-28,7146306
2020-11-04,7157479
2020-11-11,7175417
2020-11-18,7243080
2020-11-25,7216480
2020-12-02,7222414
2020-12-09,7242658
2020-12-16,7362592
2020-12-23,7404039
2020-12-30,7363351
2021-01-06,7334809
2021-01-13,7333968
2021-01-20,7414942
2021-01-27,7404926
2021-02-03,7410598
2021-02-10,7442225
2021-02-17,7557402
2021-02-24,7590111
2021-03-03,7557524
2021-03-10,7579901
2021-03-17,7693506
2021-03-24,7719622
2021-03-31,7688988
2021-04-07,7708882
2021-04-14,7793104
2021-04-21,7820948
2021-04-28,7780962
2021-05-05,7810486
2021-05-12,7830663
2021-05-19,7922883
2021-05-26,7903541
2021-06-02,7935703
2021-06-09,7952327
2021-06-16,8064257
2021-06-23,8101945
2021-06-30,8078544
2021-07-07,8097773
2021-07-14,8201651
2021-07-21,8240530
2021-07-28,8221473
2021-08-04,8235073
2021-08-11,8257159
2021-08-18,8342598
2021-08-25,8332743
2021-09-01,8349173
2021-09-08,8357314
2021-09-15,8448770
2021-09-22,8489824
2021-09-29,8447981
2021-10-06,8464032
2021-10-13,8480942
2021-10-20,8564943
2021-10-27,8556181
2021-11-03,8574871
2021-11-10,8663117
2021-11-17,8674970
2021-11-24,8681771
2021-12-01,8650402
2021-12-08,8664524
2021-12-15,8756666
2021-12-22,8790495
2021-12-29,8757460
2022-01-05,8765721
2022-01-12,8788278
2022-01-19,8867834
2022-01-26,8860485
2022-02-02,8873211
2022-02-09,8878009
2022-02-16,8911033
2022-02-23,8928129
