date,kospi
2015-07-07,2040.2900390625
2015-07-08,2016.2099609375
2015-07-09,2027.81005859375
2015-07-10,2031.1700439453125
2015-07-13,2061.52001953125
2015-07-14,2059.22998046875
2015-07-15,2072.909912109375
2015-07-16,2087.889892578125
2015-07-17,2076.7900390625
2015-07-20,2073.31005859375
2015-07-21,2083.6201171875
2015-07-22,2064.72998046875
2015-07-23,2065.070068359375
2015-07-24,2045.9599609375
2015-07-27,2038.81005859375
2015-07-28,2039.0999755859375
2015-07-29,2037.6199951171875
2015-07-30,2019.030029296875
2015-07-31,2030.1600341796875
2015-08-03,2008.489990234375
2015-08-04,2027.989990234375
2015-08-05,2029.760009765625
2015-08-06,2013.2900390625
2015-08-07,2010.22998046875
2015-08-10,2003.1700439453125
2015-08-11,1986.6500244140625
2015-08-12,1975.469970703125
2015-08-13,1983.4599609375
2015-08-17,1968.52001953125
2015-08-18,1956.260009765625
2015-08-19,1939.3800048828125
2015-08-20,1914.550048828125
2015-08-21,1876.0699462890625
2015-08-24,1829.81005859375
2015-08-25,1846.6300048828125
2015-08-26,1894.0899658203125
2015-08-27,1908.0
2015-08-28,1937.6700439453125
2015-08-31,1941.489990234375
2015-09-01,1914.22998046875
2015-09-02,1915.219970703125
2015-09-03,1915.530029296875
2015-09-04,1886.0400390625
2015-09-07,1883.219970703125
2015-09-08,1878.6800537109375
2015-09-09,1934.199951171875
2015-09-10,1962.1099853515625
2015-09-11,1941.3699951171875
2015-09-14,1931.4599609375
2015-09-15,1937.56005859375
2015-09-16,1975.449951171875
2015-09-17,1976.489990234375
2015-09-18,1995.949951171875
2015-09-21,1964.6800537109375
2015-09-22,1982.06005859375
2015-09-23,1944.6400146484375
2015-09-24,1947.0999755859375
2015-09-25,1942.8499755859375
2015-09-30,1962.81005859375
2015-10-01,1979.3199462890625
2015-10-02,1969.6800537109375
2015-10-05,1978.25
2015-10-06,1990.6500244140625
2015-10-07,2005.8399658203125
2015-10-08,2019.530029296875
2015-10-12,2021.6300048828125
2015-10-13,2019.050048828125
2015-10-14,2009.550048828125
2015-10-15,2033.27001953125
2015-10-16,2030.260009765625
2015-10-19,2030.27001953125
2015-10-20,2039.3599853515625
2015-10-21,2042.97998046875
2015-10-22,2023.0
2015-10-23,2040.4000244140625
2015-10-26,2048.080078125
2015-10-27,2044.6500244140625
2015-10-28,2042.510009765625
2015-10-29,2034.1600341796875
2015-10-30,2029.469970703125
2015-11-02,2035.239990234375
2015-11-03,2048.39990234375
2015-11-04,2052.77001953125
2015-11-05,2049.409912109375
2015-11-06,2041.0699462890625
2015-11-09,2025.699951171875
2015-11-10,1996.5899658203125
2015-11-11,1997.27001953125
2015-11-12,1993.3599853515625
2015-11-13,1973.2900390625
2015-11-16,1943.02001953125
2015-11-17,1963.5799560546875
2015-11-18,1962.8800048828125
2015-11-19,1988.9100341796875
2015-11-20,1989.8599853515625
2015-11-23,2003.699951171875
2015-11-24,2016.2900390625
2015-11-25,2009.4200439453125
2015-11-26,2030.6800537109375
2015-11-27,2028.989990234375
2015-11-30,1991.969970703125
2015-12-01,2023.9300537109375
2015-12-02,2009.2900390625
2015-12-03,1994.0699462890625
2015-12-04,1974.4000244140625
2015-12-07,1963.6700439453125
2015-12-08,1949.0400390625
2015-12-09,1948.239990234375
2015-12-10,1952.0699462890625
2015-12-11,1948.6199951171875
2015-12-14,1927.8199462890625
2015-12-15,1932.969970703125
2015-12-16,1969.4000244140625
2015-12-17,1977.9599609375
2015-12-18,1975.3199462890625
2015-12-21,1981.18994140625
2015-12-22,1992.56005859375
2015-12-23,1999.219970703125
2015-12-24,1990.6500244140625
2015-12-28,1964.06005859375
2015-12-29,1966.31005859375
2015-12-30,1961.31005859375
2016-01-04,1918.760009765625
2016-01-05,1930.530029296875
2016-01-06,1925.4300537109375
2016-01-07,1904.3299560546875
2016-01-08,1917.6199951171875
2016-01-11,1894.8399658203125
2016-01-12,1890.8599853515625
2016-01-13,1916.280029296875
2016-01-14,1900.010009765625
2016-01-15,1878.8699951171875
2016-01-18,1878.449951171875
2016-01-19,1889.6400146484375
2016-01-20,1845.449951171875
2016-01-21,1840.530029296875
2016-01-22,1879.4300537109375
2016-01-25,1893.4300537109375
2016-01-26,1871.68994140625
2016-01-27,1897.8699951171875
2016-01-28,1906.93994140625
2016-01-29,1912.06005859375
2016-02-01,1924.8199462890625
2016-02-02,1906.5999755859375
2016-02-03,1890.6700439453125
2016-02-04,1916.260009765625
2016-02-05,1917.7900390625
2016-02-11,1861.5400390625
2016-02-12,1835.280029296875
2016-02-15,1862.199951171875
2016-02-16,1888.300048828125
2016-02-17,1883.93994140625
2016-02-18,1908.8399658203125
2016-02-19,1916.239990234375
2016-02-22,1916.3599853515625
2016-02-23,1914.219970703125
2016-02-24,1912.530029296875
2016-02-25,1918.5699462890625
2016-02-26,1920.1600341796875
2016-02-29,1916.6600341796875
2016-03-02,1947.4200439453125
2016-03-03,1958.1700439453125
2016-03-04,1955.6300048828125
2016-03-07,1957.8699951171875
2016-03-08,1946.1199951171875
2016-03-09,1952.949951171875
2016-03-10,1969.3299560546875
2016-03-11,1971.4100341796875
2016-03-14,1972.27001953125
2016-03-15,1969.969970703125
2016-03-16,1974.9000244140625
2016-03-17,1987.989990234375
2016-03-18,1992.1199951171875
2016-03-21,1989.760009765625
2016-03-22,1996.81005859375
2016-03-23,1995.1199951171875
2016-03-24,1985.969970703125
2016-03-25,1983.81005859375
2016-03-28,1982.5400390625
2016-03-29,1994.9100341796875
2016-03-30,2002.1400146484375
2016-03-31,1995.8499755859375
2016-04-01,1973.5699462890625
2016-04-04,1978.969970703125
2016-04-05,1962.739990234375
2016-04-06,1971.3199462890625
2016-04-07,1973.8900146484375
2016-04-08,1972.050048828125
2016-04-11,1970.3699951171875
2016-04-12,1981.3199462890625
2016-04-14,2015.9300537109375
2016-04-15,2014.7099609375
2016-04-18,2009.0999755859375
2016-04-19,2011.3599853515625
2016-04-20,2005.8299560546875
2016-04-21,2022.0999755859375
2016-04-22,2015.489990234375
2016-04-25,2014.550048828125
2016-04-26,2019.6300048828125
2016-04-27,2015.4000244140625
2016-04-28,2000.9300537109375
2016-04-29,1994.1500244140625
2016-05-02,1978.1500244140625
2016-05-03,1986.4100341796875
2016-05-04,1976.7099609375
2016-05-09,1967.81005859375
2016-05-10,1982.5
2016-05-11,1980.0999755859375
2016-05-12,1977.489990234375
